ticket_id,title,type,status,feedback_type,created,concept_count,concepts
T1292571,Action hidden by a Conditional Appearance Rule appears as disabled in List Views,InsuffInfo,Closed,Negative,2025-05-21T10:51:00.1,63,"Blazor, Application Model, Views, List Editors, Controllers and Actions, Layout, XAF Application, Model Extension, Model Cache, Async Operations, Collection Property, Reference Property, Calculated Property, Property Metadata, View Types, List View, List View Data Access Modes, Detail View, Dashboard View, Lookup View, View Items, Static View Items, Dashboard View Items, Action Container View Items, View Customization, Master-Detail Views, Nested Views, View Variants, View Lifecycle, Layout Generation, Layout Runtime Customization, Popup Windows, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Controller Activation, Target Properties, Controller Lifecycle, Built-in Controllers, CRUD Controllers, List View Controllers, Controller Customization, Actions, Action Types, Simple Action, Conditional Appearance, State Machine, Office Module, Tenant, Threading Issues, Performance Optimization, Memory Management, Scaling Architecture"
T1289742,Add documentation about how to use xUnit,InsuffInfo,Archived,Negative,2025-05-01T05:23:30.213,19,"Business Logic, List Editors, Controllers and Actions, Model Extension, Lookup View, Lookup Property Editors, Controller Customization, Context Menus, Actions, Action Types, Simple Action, Parametrized Action, Popup Window Show Action, Single Choice Action, Action Containers, Action State Management, Action Customization, Built-in Actions, Testing"
T1289372,ModificationsCheckingMode  + new item row limitiation,InsuffInfo,Closed,Negative,2025-04-29T12:10:05.317,14,"Blazor, Web API Service, Entity Framework Core, XPO, Business Logic, Windows, Model Extension, Object Space Provider, CRUD Controllers, Mail Merge, Office Module, Tenant, Threading Issues, Legacy .NET Framework"
T1286784,"FROM PM: Add a note about Visual Studio code style settings, which lead to runtime errors",InsuffInfo,Archived,Negative,2025-04-10T10:13:01.217,22,"WinForms, Non-persistent Object, Business Logic, Views, Controllers and Actions, Application Templates, .NET Runtime, Modules, Model Extension, View Items, Static View Items, Dashboard View Items, Action Container View Items, Layout Generation, Controller Customization, Tabbed MDI Interface, Reports, Report Parameters, Reports V2, Mail Merge, Tenant, Threading Issues"
T1286688,FROM PM: Add a Collapse/Expand TreeList Nodes section to the TreeList Editors Module docs,InsuffCode,Closed,Negative,2025-04-09T20:50:21.44,37,"Blazor, Business Logic, Security System, Views, Property Editors, List Editors, Controllers and Actions, XAF Application, Model Extension, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Tree Node Interface, View Types, View Variants, View Lifecycle, Tree List, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, View Controller, Generic View Controllers, Object View Controllers, Controller Activation, Controller Lifecycle, Controller Customization, Filtering UI, Spreadsheet Control, Scheduler, Recurring Events, Notifications, Clone Object, Office Module"
T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived,Negative,2025-04-04T20:23:14.897,45,"WinForms, Web API Service, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Authentication, Authorization, Views, XAF Application, Model Extension, Middle Tier, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, Built-in Controllers, CRUD Controllers, List View Controllers, Tabbed MDI Interface, Filtering UI, Spreadsheet Control, Built-in Actions, Security Strategy, Custom User Management, Permission Policies, Audit Trail, Validation, PivotGrid, Clone Object"
T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,InvalidInfo,Closed,Negative,2025-04-03T05:19:03.9,20,"WinForms, Web API Service, Entity Framework Core, XPO, Business Logic, Security System, Authentication, Authorization, Model Extension, Middle Tier, Object Space Provider, Controller Types, Tabbed MDI Interface, Security Strategy, Custom User Management, Permission Policies, Audit Trail, Report Parameters, Tenant, Threading Issues"
T1283433,[S ] Key Properties - EF Core string key property,InsuffInfo,Archived,,2025-03-20T21:07:59.05,51,"Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Types, List View, Detail View, Dashboard View, Lookup View, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Controller Types, View Controller, Generic View Controllers, Object View Controllers, Window Controller, Dialog Controller, Filtering UI, Spreadsheet Control, Action Types, Simple Action, Parametrized Action, Popup Window Show Action, Single Choice Action, Validation, PivotGrid, Clone Object, Office Module, Threading Issues"
T1282975,Typo in the code snippet - ExceptionService Class,InvalidCode,Closed,,2025-03-18T20:20:39.273,1,Model Extension
T1282060,Implement a Property Editor Based on a Custom Component ,InsuffInfo,Archived,,2025-03-13T06:11:19.22,7,"Blazor, Property Editors, Collection Property, Reference Property, Calculated Property, Property Metadata, Controller Types"
T1282054,IReportDataSourceHelper.BeforeShowPreview wrong info,InvalidInfo,Closed,,2025-03-13T05:41:55.83,4,"Model Extension, Report Parameters, Reports V2, Demo Applications"
T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed,,2025-03-04T20:09:23.35,42,"Blazor, Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, List Editors, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, List View, List View Data Access Modes, Inline Editing, Property Editor Types, Standard Property Editors, Lookup Property Editors, Collection Property Editors, Specialized Property Editors, Property Editor Customization, Property Editor Features, Filtering UI, Spreadsheet Control, Validation, Reports, PivotGrid, Clone Object, Office Module, Tenant, Threading Issues"
T1280134,Help topic misses links to XPO examples,InsuffInfo,Closed,,2025-02-28T20:55:59.473,30,"Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Authentication, List Editors, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, Filtering UI, Spreadsheet Control, Validation, File Attachments, PivotGrid, Clone Object"
T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,InsuffCode,Archived,,2025-02-24T10:29:35.913,44,"Entity Framework Core, XPO, Non-persistent Object, Business Object, Business Logic, Security System, Authentication, Authorization, Application Model, Modules, Model Nodes, Model Editor, Model Differences, Model Extension, Model Cache, ApplicationBuilder, Object Space Provider, Database Connection, Object Relationships, Business Object Lifecycle, Collection Property, Reference Property, Calculated Property, Property Metadata, Criteria, Built-in Criteria Operators, Custom Criteria Functions, Multiple Databases, Direct SQL, Auto-Increment Fields, Optimistic Locking, Database Update, View Variants, Controller Activation, Target Properties, Filtering UI, Spreadsheet Control, Validation, Conditional Appearance, Mail Merge, PivotGrid, Clone Object, Office Module, Testing"
