category,feature,matched_tickets,sample_titles
Reports Module,XAF Report Object Parameters,880,Insert Dashboard Item in Detail View related to this record; Re: How to customizely handle object deletion in XAF Web Blazor application using Entity Framework?; Unable to cast object of type 'System.Boolean' to type 'System.String'.
Reports Module,XtraReport Parameters,28,ReportV2 Module scripting begin priting export file name; Request for Assistance: Binding Store Procedure Parameters to Report Parameters in DevExpress XtraReports; Blazor XAF parameter report
Scheduler Module,Scheduler Module,45,Label and Status within Scheduler Event; XAF Blazor – Module Model Change Not Applied Into Server Model; Blazor: Predefined Reports/ error on webapi
Scheduler Module,Custom Filtering in Scheduler,378,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
Scheduler Module,IEvent and IResource Implementation,15,Blazor Scheduler: Drag & drop recurring appointment exception fails validation - Required fields empty; DxScheduler Custom Create Appointment; Appointments Span All Resources
Scheduler Module,Recurring Events,6,"Questions Regarding Recurrence Exceptions in XAF Scheduler ; Recurrence update breaks links to existing recurring events in XAF Calendar module; ""Create Custom Event and Resource Classes for XAF Scheduler"" example does not work for Recurrences"
Scheduler Module,Scheduler Control Customization,232,ListView for XAF - The filter area is rendered incorrectly in the Fluent theme; Set border style for DxDataList/DxTreeListEditor row; Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor
Scheduler Module,Timeout,0,
Security Module,Security Module,204,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; .net framework on xaf; replace PasswordCryptographer
Security Module,Action Permissions,49,XAF - PermissionRole using Standalone Web API; LookUpEditor ignores AllowEdit=false and opens edit popup in Blazor.; XAF Blazor – Cannot control lookup selection and opening detail view independently
Security Module,Administrative UI,0,
Security Module,Built-In Permissions Setup/Troubleshooting,105,Project converter error 25.2.4; .net framework on xaf; Behavior of Role Merging (Granted﻿In﻿All﻿Roles) changed
Security Module,Custom Authentication/Logon Parameters Form,2879,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Security Module,Custom Permissions Implementation,856,Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; Override the Administrator access in navigation; Re: How to check if a new password matches any of previously used passwords
Security Module,Custom User and Role Classes,2375,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Security Module,Middle-Tier Application Server,798,How to create a Elsa Workflow service that can use ObjectSpaces; XAF Blazor - Adjust grid layout height and avoid extra scrollbars in web ListView and DetailView; Re: Blazor - XAF app throws an exception if a logon window remains active for a long time
Security Module,Security inMultiple Databases,24,Sqlite with EFCore SplitQuery behavior - collection properties appear empty; Multi DataBase for multi module and Audit Trail with Multi DB for each Module; How to update databases in a multitenant application
Security Module,OAuth Identity Providers,47,Xaf security and web api; Re: XAF Multi-Tenant Application - Restore e email; Unable to show dialog during authentication
Security Module,Security in Non-XAF Apps,207,How to create a Elsa Workflow service that can use ObjectSpaces; Access to BaseImpl classes not working; Api record Logged On dates/times
Solution Structure and Module Design,Solution Structure and Module Design,1288,"Insert Dashboard Item in Detail View related to this record; How to create a Elsa Workflow service that can use ObjectSpaces; Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error"
Solution Structure and Module Design,CLI Templates,109,How to clear DxTextBox programatically; XAF Blazor - How to align a search box to the right; Question on WPF - XAF - Integration
Solution Structure and Module Design,Dynamically Loaded Modules and Types,72,XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; Delayed loading of custom members in XAF (XPO / WebForms); How to use CustomizeCellDisplayText for a Blazor XAF application ?
Solution Structure and Module Design,Nuget,0,
Solution Structure and Module Design,Template Kit,59,DecExpress v25.2 XAF Template Gallery; Access to BaseImpl classes not working; Question on WPF - XAF - Integration
Solution Structure and Module Design,ValueManager,0,
Solution Structure and Module Design,Version Control System,1068,System Threading Task prevent project converter Upgrade; FileSystemStoreObject with IFileData does not support real-time preview PdfViewerPropertyEditor in Blazor - Content property workaround needed; Blazor - XAF raises ObjectDisposedException in ActionShortcutComponent after idle in some usage scenarios
Solution Structure and Module Design,Xafari (Galaktika),0,
UI Customization,UI Customization,0,
UI Customization,Custom Property Editors,1822,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Custom Password Property Editor (DxTextBox) shows empty on load and clears value when toggling visibility
UI Customization,Custom List Editors,2051,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
UI Customization,Custom Detail View Layouts,3288,XAF Web ListViewDetailView Mode displaying detail view on popup when clicking the row; Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
UI Customization,Custom List View Layouts,3334,XAF Web ListViewDetailView Mode displaying detail view on popup when clicking the row; Blazor listview move to first page ; Missing image Show In Report Action in Nested ListView
UI Customization,Custom Model Editors,1785,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
UI Customization,Custom Model Editor Controllers,2482,"Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Cannot open Model Editor (model.xafml) – ""Cannot create an application instance, !ModuleHelper.IsDesignMode"" error"
UI Customization,"Custom Views (Dashboard, Report, etc.)",2371,XAF Blazor - Dashboard Menu Parameters checkbox missing; Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
State Machine Module,State Machine Module,119,API DELETE Verb fails when XAF security system keyed to reference property; How to use dashboards parameters in Blazor apps; How to use the DX Appliation Updater with a Win-Forms client that connects to the new Middle-Tier API (XPO)?
State Machine Module,Custom Enable/Hide States,677,XAF Blazor - Dashboard Menu Parameters checkbox missing; using forced skin for all users; Override the Administrator access in navigation
TreeList Editors Module,TreeList Editors Module,202,Insert Dashboard Item in Detail View related to this record; ASPxRatingControl Validation; XAF Blazor EF Core: Change the Dashboard View When a Saved View Selected
TreeList Editors Module,Custom Filtering in TreeList Editor,1574,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
TreeList Editors Module,InPlace Editing in TreeList Editor,209,Set border style for DxDataList/DxTreeListEditor row; CellDisplayTemplate briefly shows incorrect content when transitioning from CellEditTemplate in EditCell mode; DxGrid EditMode cannot be changed after initial render in XAF Blazor
TreeList Editors Module,ITreeNode Implementation,7,DxTreeListEditor  – how can I prevent it from loading all records from the table; DxTreeListEditor - must not be default editor; Multiple Resource Classes for scheduler
Validation Module,Validation Module,99,Controller responsible for “Unsaved changes will be lost” popup in XAF Blazor; Re: How to check if a new password matches any of previously used passwords; ASPxRatingControl Validation
Validation Module,Built-In Rules Setup/Troubleshooting,92,Project converter error 25.2.4; XAF ASP.NET WEB FORM - How to align caption like default xaf label when zoom in / out; How to show mandatory asterisk and validation highlighting on custom ViewItems bound to child object properties
Validation Module,Custom Error Highlighting,1097,Blazor - XAF raises ObjectDisposedException in ActionShortcutComponent after idle in some usage scenarios; Project converter error 25.2.4; Access to BaseImpl classes not working
Validation Module,Custom Rule Type Implementation,2070,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?
Validation Module,RuleSet Customization,1,Change font colour or make bold labels where RuleRequired has been included
Validation Module,Validate Persistent Objects in Non-XAF Apps,845,How to create a Elsa Workflow service that can use ObjectSpaces; Calculated CreatedX and LastModifiedX properties using the AuditTrailModule?; XAF : Example of updating a persistent list based on selection from another persistent list
View Variants Module,View Variants Module,725,Insert Dashboard Item in Detail View related to this record; ListView for XAF - Drop-down with view variants disappears during navigation between ListViews; XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
View Variants Module,Custom Storages in View Variants,2736,Insert Dashboard Item in Detail View related to this record; ListView for XAF - Drop-down with view variants disappears during navigation between ListViews; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Views and View Items and Property Editors,Views and View Items and Property Editors,2194,Empty columns when showing reference property together with default property in ServerViewMode; Insert Dashboard Item in Detail View related to this record; ListView for XAF - Drop-down with view variants disappears during navigation between ListViews
Views and View Items and Property Editors,Built-In View Items and Editors,1118,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); OnModelCreating Repeated Execution
Views and View Items and Property Editors,Collapsible Groups (IsGroupCollapsed),4,XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Collapse group in controller; How to control Tabbing 
Views and View Items and Property Editors,Creating and Showing Views,228,Label and Status within Scheduler Event; Show DetailView from MessageOptions.OkDelegate; Application error when create a detail view
Views and View Items and Property Editors,Criteria Editors,59,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; ASPxRatingControl Validation
Views and View Items and Property Editors,Custom View Items and Editors,3049,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups
Views and View Items and Property Editors,DashboardViews,0,
Views and View Items and Property Editors,Enum Editors,35,Another fix related to localization; XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; Custom checked combo box issue
Views and View Items and Property Editors,Filter Editors,97,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; XAF Blazor EF Core: Change the Dashboard View When a Saved View Selected
Views and View Items and Property Editors,Grid List Editors,803,Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; XAF Blazor - Adjust grid layout height and avoid extra scrollbars in web ListView and DetailView
Views and View Items and Property Editors,"Grid Pring, Export",28,XAF BLAZOR -> row number in listview; How to set the column position of a property in Export; View.Refresh() does not refresh the ListView
Views and View Items and Property Editors,Image Editors,73,LookupPropertyEditor not setting value; Custom Icon on Property Editor does not render correctly; Custom Image Property Editor not available in List View
Views and View Items and Property Editors,ImmediatePostData,0,
Views and View Items and Property Editors,Inline Edit (Batch),164,Inline grid editing stops accepting input after Lookup selection on new objects; XAF WebForms (ASPxGridListEditor) — BatchEdit crashes in GridBatchEditHelper.CurrentPageKeys when new rows have client‑assigned GUIDs and ASPxComboBox (ImmediatePostData) changes trigger callbacks; Blazor: set focus on cell in editable listview
Views and View Items and Property Editors,Layout End-User Customization,2267,XAF Blazor - Dashboard Menu Parameters checkbox missing; ListView for XAF - Drop-down with view variants disappears during navigation between ListViews; How to create a Elsa Workflow service that can use ObjectSpaces
Views and View Items and Property Editors,Layout Generation and Customization API,211,XAF Blazor EF Core: Collapsing LayoutGroup in Dashboard Does Not Expand Other Layout Groups; Set border style for DxDataList/DxTreeListEditor row; ASP.NET WEB FORM - Apply CustomCSSClassName for static text but not working
Views and View Items and Property Editors,Lazy Loading (DelayedViewItemsInitialization),19,XtraReports Expression Editor: Severe performance degradation with types containing many members (4000+) - path depth limitation needed; Using DevExpress' paging and search system when retrieving data in batches; Using DevExpress' paging and search system when retrieving data in batches
Views and View Items and Property Editors,ListViewAndDetailView (Master-Detail,132,"Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor - Adjust grid layout height and avoid extra scrollbars in web ListView and DetailView; MasterDetail  grid - Customise ""Select Record To Edit"" message"
Views and View Items and Property Editors,Lookup Property Editors,623,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); XAF Blazor - LookupPropertyEditor DxComboBox loses input focus when dropdown contains columns with object reference (navigation) properties
Views and View Items and Property Editors,Pop-Up Property Editors,636,Insert Dashboard Item in Detail View related to this record; Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core); [Association] without [Aggregated] does not auto-populate child back-reference property when creating object from nested ListView
Views and View Items and Property Editors,Property Editor Value Formatting,1531,Insert Dashboard Item in Detail View related to this record; Change caption of boolean property of a businessobject depending of its value (xaf winforms); Master-Detail behavior between two nested ListViews in a single DetailView (Blazor XAF EF Core)
Views and View Items and Property Editors,Tag Box Editors,158,Checkbox value changes when clicking anywhere in the layout container; Custom Icon on Property Editor does not render correctly; ImmediatePostData callback is not triggered in custom ASPxPropertyEditor composite editor
Views and View Items and Property Editors,"Text Notifications (ShowMessage, Toast)",51,"How Implement service with fallback, cache and warm; XAF Blazor: How to show aggregate child validation errors in DetailView Red Summary instead of Toasts?; RichTextPropertyEditor ObjectChanged Not Firing After Another Tab's RichText Editor Is Loaded"
