category,feature,covered,mapped_concepts
Navigation System,ShowNavigationItemController Customization,yes,xaf.data.business-model.custom-validation-rules; xaf.data.business-model.clone-object; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.theming.svg-graphics; xaf.ui.controllers.controllers; xaf.ui.controllers.built-in-controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
Notifications Module,Notifications Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.architecture.modules.web-api-service
Notifications Module,Custom Filtering in Notifications Module,yes,xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications
Notifications Module,ISupportNotifications Implementation,yes,xaf.security.authorization.authorization; xaf.data.business-model.business-object; xaf.data.business-model.custom-validation-rules; xaf.data.properties.tree-node-interface; xaf.ui.views.scheduler; xaf.ui.ux.notifications
"Office Module (Rich Text, Spreadsheets, PDF","Office Module (Rich Text, Spreadsheets, PDF",yes,xaf.ui.views.office-module
"Office Module (Rich Text, Spreadsheets, PDF",PDF Viewer,yes,xaf.ui.views.reports; xaf.ui.views.office-module
"Office Module (Rich Text, Spreadsheets, PDF",Rich Text Editor,yes,xaf.ui.views.office-module; xaf.ui.views.view-items
"Office Module (Rich Text, Spreadsheets, PDF",Spreadsheet,yes,xaf.ui.views.office-module
Performance,Performance,yes,xaf.architecture.application-model.model-cache; xaf.quality.performance.performance-optimization; xaf.quality.performance.memory-management
Performance,Memory Consumption,yes,xaf.data.business-model.non-persistent-object; xaf.quality.performance.memory-management
Performance,Speed,yes,xaf.quality.performance.performance-optimization
Pivot Grid Module,Pivot Grid Module,yes,xaf.ui.views.pivot-grid; xaf.ui.list-editors.tree-list
Pivot Grid Module,Pivot Grid Customization in Code,yes,xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid
Pivot Grid Module,Pivot Grid Customization in Wizard,yes,xaf.ui.views.charts; xaf.ui.views.pivot-grid
Reports Module,Reports Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.database.data-access-modes; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.architecture.modules.web-api-service
Reports Module,Bind To Custom Data Sources,yes,xaf.security.auditing.audit-trail; xaf.data.business-model.business-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.database.direct-sql; xaf.data.database.data-access-modes; xaf.data.criteria.custom-criteria-functions; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors
Reports Module,InPlace Reports,yes,xaf.data.database.data-access-modes; xaf.ui.views.reports; xaf.ui.list-editors.tree-list; xaf.ui.ux.inline-editing; xaf.ui.actions.action-containers
Reports Module,Predefined Reports,yes,xaf.data.database.data-access-modes; xaf.ui.views.reports; xaf.ui.actions.action-containers
Reports Module,Report Control Customization,yes,xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.scheduler; xaf.ui.navigation.navigation; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
Reports Module,"Show Preview, Print, Export in Code",yes,xaf.ui.views.reports
Reports Module,XAF Report Object Parameters,yes,xaf.data.database.data-access-modes; xaf.ui.views.view-lifecycle; xaf.ui.views.reports
Reports Module,XtraReport Parameters,yes,xaf.security.authentication.authentication; xaf.ui.views.view-lifecycle; xaf.ui.views.reports
Scheduler Module,Scheduler Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.architecture.modules.web-api-service
Scheduler Module,Custom Filtering in Scheduler,yes,xaf.ui.views.dashboards; xaf.ui.views.scheduler; xaf.ui.list-editors.tree-list; xaf.ui.ux.notifications
Scheduler Module,IEvent and IResource Implementation,yes,xaf.ui.views.scheduler
Scheduler Module,Recurring Events,yes,xaf.ui.views.scheduler; xaf.ui.theming.conditional-appearance
Scheduler Module,Scheduler Control Customization,yes,xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.scheduler; xaf.ui.navigation.navigation; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
Scheduler Module,Timeout,yes,xaf.ui.views.scheduler
Security Module,Security Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.authentication.authentication; xaf.security.authentication.oauth; xaf.security.authorization.authorization; xaf.security.users.users-and-roles; xaf.security.core.middle-tier; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.database.multiple-databases; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.architecture.modules.web-api-service; xaf.security.users.administrative-ui
Security Module,Action Permissions,yes,xaf.security.authorization.authorization; xaf.data.object-space.business-logic; xaf.ui.layout.layout-runtime-customization; xaf.ui.ux.inline-editing; xaf.ui.controllers.built-in-controllers; xaf.ui.actions.actions; xaf.ui.actions.action-containers; xaf.ui.actions.action-state; xaf.ui.templates.application-templates; xaf.security.users.administrative-ui
Security Module,Administrative UI,yes,xaf.security.core.security-system; xaf.security.authorization.authorization; xaf.security.users.users-and-roles; xaf.security.users.administrative-ui
Security Module,Built-In Permissions Setup/Troubleshooting,yes,xaf.security.authorization.authorization; xaf.security.users.administrative-ui
Security Module,Custom Authentication/Logon Parameters Form,yes,xaf.security.authentication.authentication
Security Module,Custom Permissions Implementation,yes,xaf.security.authorization.authorization; xaf.data.business-model.business-object; xaf.data.business-model.custom-validation-rules; xaf.ui.views.scheduler
Security Module,Custom User and Role Classes,yes,xaf.architecture.multi-tenancy.tenant-classes; xaf.security.authorization.authorization; xaf.security.users.users-and-roles; xaf.security.auditing.audit-trail; xaf.ui.layout.layout-runtime-customization; xaf.security.users.administrative-ui
Security Module,Middle-Tier Application Server,yes,xaf.architecture.core.enterprise-features; xaf.security.core.middle-tier
Security Module,Security inMultiple Databases,yes,xaf.data.database.multiple-databases
Security Module,OAuth Identity Providers,yes,xaf.security.authentication.oauth
Security Module,Security in Non-XAF Apps,yes,xaf.security.core.security-system; xaf.security.authentication.authentication; xaf.security.authentication.oauth; xaf.security.authorization.authorization; xaf.security.users.users-and-roles; xaf.security.core.middle-tier; xaf.security.auditing.audit-trail; xaf.data.object-space.business-logic; xaf.data.properties.file-attachments; xaf.data.database.multiple-databases; xaf.localization.localization.localization-basics; xaf.architecture.modules.web-api-service; xaf.security.users.administrative-ui
Solution Structure and Module Design,Solution Structure and Module Design,yes,xaf.architecture.modules.modules; xaf.tooling.project-creation.solution-structure; xaf.ui.views.reports
Solution Structure and Module Design,CLI Templates,yes,xaf.tooling.project-creation.template-kit; xaf.ui.templates.application-templates
Solution Structure and Module Design,Dynamically Loaded Modules and Types,yes,xaf.architecture.modules.modules; xaf.tooling.project-creation.solution-structure
Solution Structure and Module Design,Nuget,yes,xaf.tooling.project-creation.package-management
Solution Structure and Module Design,Template Kit,yes,xaf.tooling.project-creation.solution-structure; xaf.tooling.project-creation.template-kit; xaf.localization.localization.localization-basics; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates
Solution Structure and Module Design,ValueManager,yes,xaf.tooling.project-creation.solution-structure
Solution Structure and Module Design,Version Control System,yes,xaf.security.core.security-system; xaf.tooling.project-creation.solution-structure; xaf.ui.navigation.navigation
Solution Structure and Module Design,Xafari (Galaktika),yes,xaf.tooling.project-creation.solution-structure
UI Customization,UI Customization,yes,xaf.data.business-model.custom-validation-rules; xaf.data.business-model.clone-object; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.theming.svg-graphics; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
UI Customization,Custom Property Editors,yes,xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.state-machine; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
UI Customization,Custom List Editors,yes,xaf.tooling.model-editor.model-editor; xaf.ui.views.list-view; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
UI Customization,Custom Detail View Layouts,yes,xaf.data.database.direct-sql; xaf.ui.views.detail-view; xaf.ui.views.view-lifecycle; xaf.ui.views.master-detail-views; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.controllers.controllers; xaf.ui.views.view-items
UI Customization,Custom List View Layouts,yes,xaf.data.database.direct-sql; xaf.ui.views.list-view; xaf.ui.views.master-detail-views; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.ux.inline-editing; xaf.ui.controllers.controllers; xaf.ui.controllers.built-in-controllers; xaf.ui.views.view-items
UI Customization,Custom Model Editors,yes,xaf.architecture.application-model.model-extension; xaf.data.business-model.business-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.tooling.model-editor.model-editor; xaf.ui.views.list-view; xaf.ui.views.view-variants; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
UI Customization,Custom Model Editor Controllers,yes,xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-extension; xaf.data.business-model.business-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.tooling.model-editor.model-editor; xaf.localization.localization.localization-tool; xaf.ui.views.list-view; xaf.ui.views.view-variants; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.controllers.controllers; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
UI Customization,"Custom Views (Dashboard, Report, etc.)",yes,xaf.data.database.data-access-modes; xaf.ui.views.dashboard-view; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.view-items
State Machine Module,State Machine Module,yes,xaf.data.business-model.state-machine
State Machine Module,Custom Enable/Hide States,yes,xaf.data.business-model.state-machine; xaf.ui.theming.conditional-appearance; xaf.ui.controllers.controllers; xaf.ui.actions.action-state
TreeList Editors Module,TreeList Editors Module,yes,xaf.ui.list-editors.tree-list
TreeList Editors Module,Custom Filtering in TreeList Editor,yes,xaf.tooling.model-editor.model-editor; xaf.ui.views.dashboards; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.ux.notifications; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
TreeList Editors Module,InPlace Editing in TreeList Editor,yes,xaf.ui.list-editors.tree-list; xaf.ui.ux.inline-editing
TreeList Editors Module,ITreeNode Implementation,yes,xaf.security.authorization.authorization; xaf.data.business-model.business-object; xaf.data.business-model.custom-validation-rules; xaf.data.properties.tree-node-interface; xaf.ui.views.scheduler; xaf.ui.list-editors.tree-list
Validation Module,Validation Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.ui.ux.error-styling; xaf.architecture.modules.web-api-service
Validation Module,Built-In Rules Setup/Troubleshooting,yes,xaf.security.authorization.authorization; xaf.data.business-model.validation; xaf.security.users.administrative-ui
Validation Module,Custom Error Highlighting,yes,xaf.ui.ux.error-styling
Validation Module,Custom Rule Type Implementation,yes,xaf.security.authorization.authorization; xaf.data.business-model.business-object; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.ui.views.reports; xaf.ui.views.scheduler; xaf.ui.theming.conditional-appearance
Validation Module,RuleSet Customization,yes,xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.clone-object; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.theming.svg-graphics; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
Validation Module,Validate Persistent Objects in Non-XAF Apps,yes,xaf.security.auditing.audit-trail; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.validation; xaf.data.orm.xpo; xaf.architecture.modules.web-api-service
View Variants Module,View Variants Module,yes,xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module
View Variants Module,Custom Storages in View Variants,yes,xaf.architecture.application-model.model-differences; xaf.data.database.direct-sql; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.controllers.controllers; xaf.ui.views.view-items
Views and View Items and Property Editors,Views and View Items and Property Editors,yes,xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.views.view-lifecycle; xaf.ui.views.office-module; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.views.view-items; xaf.ui.views.lazy-loading
Views and View Items and Property Editors,Built-In View Items and Editors,yes,xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.views.view-lifecycle; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.controllers.built-in-controllers; xaf.ui.views.view-items; xaf.ui.views.lazy-loading
Views and View Items and Property Editors,Collapsible Groups (IsGroupCollapsed),yes,xaf.ui.layout.layout
Views and View Items and Property Editors,Creating and Showing Views,yes,xaf.ui.views.views; xaf.ui.views.view-lifecycle
Views and View Items and Property Editors,Criteria Editors,yes,xaf.data.criteria.criteria; xaf.data.criteria.built-in-criteria-operators; xaf.data.criteria.custom-criteria-functions; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.actions.action-state; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,Custom View Items and Editors,yes,xaf.data.database.direct-sql; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.views.view-lifecycle; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.controllers.controllers; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items; xaf.ui.views.lazy-loading
Views and View Items and Property Editors,DashboardViews,yes,xaf.ui.views.dashboard-view
Views and View Items and Property Editors,Enum Editors,yes,xaf.data.object-space.async-operations; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,Filter Editors,yes,xaf.security.authorization.authorization; xaf.data.database.data-access-modes; xaf.data.criteria.criteria; xaf.data.criteria.built-in-criteria-operators; xaf.data.criteria.custom-criteria-functions; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.views.dashboards; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.ux.notifications; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,Grid List Editors,yes,xaf.ui.views.list-view; xaf.ui.views.pivot-grid; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.ux.inline-editing
Views and View Items and Property Editors,"Grid Pring, Export",yes,xaf.ui.ux.inline-editing
Views and View Items and Property Editors,Image Editors,yes,xaf.data.properties.tree-node-interface; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.theming.svg-graphics; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,ImmediatePostData,yes,xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors
Views and View Items and Property Editors,Inline Edit (Batch),yes,xaf.ui.ux.inline-editing
Views and View Items and Property Editors,Layout End-User Customization,yes,xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization
Views and View Items and Property Editors,Layout Generation and Customization API,yes,xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization
Views and View Items and Property Editors,Lazy Loading (DelayedViewItemsInitialization),yes,xaf.quality.performance.performance-optimization; xaf.ui.views.view-lifecycle; xaf.ui.views.lazy-loading
Views and View Items and Property Editors,ListViewAndDetailView (Master-Detail,yes,xaf.ui.views.master-detail-views
Views and View Items and Property Editors,Lookup Property Editors,yes,xaf.ui.views.views; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,Pop-Up Property Editors,yes,xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.state-machine; xaf.data.relationships.object-relationships; xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.views.office-module; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,Property Editor Value Formatting,yes,xaf.ui.views.views; xaf.ui.views.office-module; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,Tag Box Editors,yes,xaf.tooling.model-editor.model-editor; xaf.ui.views.views; xaf.ui.views.list-view; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.editors.lookup-editors; xaf.ui.editors.specialized-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Views and View Items and Property Editors,"Text Notifications (ShowMessage, Toast)",yes,xaf.ui.ux.notifications
